# STM32CubeMX 6.18.1-RC2 Chinese overlay dictionary.
# Format: English<TAB>Chinese. Matching is exact and case-sensitive.
Window	窗口
Outputs	输出
Smaller (low-res. display)	较小（低分辨率显示）
Medium	中等
Larger (high-res. display)	较大（高分辨率显示）
Display size	显示大小
Change the size of text and other items	更改文字和其他项目的大小
Default Theme	默认主题
Dark Theme	深色主题
Theme(Beta)	主题（测试版）
Help	帮助
Display the Help	显示帮助
About	关于
About STM32CubeMX	关于 STM32CubeMX
Docs & Resources	文档与资源
Technical Documentation	技术文档
Refresh Data	刷新数据
Refresh data and documents for MCUs, Boards and Examples	刷新 MCU、开发板和示例的数据与文档
GENERATE CODE	生成代码
CHECK LPBAM DESIGN	检查 LPBAM 设计
Home	主页
<html><br>Existing Projects<br><br><br></html>	<html><br>现有工程<br><br><br></html>
<html>Open Existing Projects</html>	<html>打开现有工程</html>
<html>Recent Opened Projects<br><br></html>	<html>最近打开的工程<br><br></html>
<html>Other Projects</html>	<html>其他工程</html>
<html><br>New Project<br><br><br></html>	<html><br>新建工程<br><br><br></html>
<html> <br> Other Services <br></html>	<html> <br> 其他服务 <br></html>
<html>I need to :<br><br></html>	<html>我需要：<br><br></html>
Start My project from MCU	从 MCU 开始创建工程
ACCESS TO MCU SELECTOR	打开 MCU 选择器
Start My project from ST Board	从 ST 开发板开始创建工程
ACCESS TO BOARD SELECTOR	打开开发板选择器
Start My project from Example	从示例开始创建工程
ACCESS TO EXAMPLE SELECTOR	打开示例选择器
ACCESS TO CROSS SELECTOR	打开交叉选择器
ACCESS TO COMPARE PROJECTS	比较工程
<html><br>Manage software installations<br><br></html>	<html><br>管理软件安装<br><br></html>
Check for STM32CubeMX and embedded software packages updates	检查 STM32CubeMX 和嵌入式软件包更新
CHECK FOR UPDATES	检查更新
Install or remove embedded software packages	安装或移除嵌入式软件包
Manage embedded software packages	管理嵌入式软件包
Connection & Updates	连接与更新
INSTALL / REMOVE	安装 / 移除
<html><a><u>Data collection information notice</u></a></html>	<html><a><u>数据收集信息声明</u></a></html>
About STM32	关于 STM32
External Tools	外部工具
LPBAM Scenario & Configuration	LPBAM 场景与配置
File Manager	文件管理器
Project Manager	工程管理器
Tutorial Videos	教程视频
User Preferences	用户首选项
Tools	工具
Confirm the Project Settings please	请确认工程设置
Warning	警告
Information	信息
Error	错误
Mcu	MCU
MCU	MCU
Board	开发板
Boards	开发板
Example	示例
Examples	示例
New Project from a MCU/MPU	从 MCU/MPU 新建工程
New Project from a Board	从开发板新建工程
New Project from Example	从示例新建工程
New Project from Cross Selector	从交叉选择器新建工程
MCU/MPU Selector	MCU/MPU 选择器
Board Selector	开发板选择器
Example Selector	示例选择器
Cross Selector	交叉选择器
MCU/MPU Filters	MCU/MPU 筛选器
Board Filters	开发板筛选器
Commercial Part Number	商用料号
<html>Commercial<br>Part Number</html>	<html>商用<br>料号</html>
PRODUCT INFO	产品信息
Type	类型
Supplier	供应商
MCU / MPU Series	MCU / MPU 系列
Segment	产品类别
Series	系列
